
2024/10/08 (01:02:03) | ===> btop++ v.1.4.0
2024/10/08 (01:02:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/17 (21:04:40) | ===> btop++ v.1.4.0
2024/11/17 (21:04:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/02 (21:31:46) | ===> btop++ v.1.4.0
2024/12/02 (21:31:46) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (00:40:35) | ===> btop++ v.1.4.0
2024/12/15 (00:40:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/15 (00:45:09) | ===> btop++ v.1.4.0
2024/12/15 (00:45:09) | WARNING: Intel GPU: Failed to initialize PMU
